ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S00461,28,23,2025-11-13,43,27,0.0,train,1,0.0005935662125451
S00463,28,23,2025-11-13,50,14,0.0,train,1,0.0005471058845357
S00465,28,25,2025-11-13,23,26,0.0,train,1,0.0003994256536563
S00467,28,23,2025-11-13,30,21,0.0047907539412867,train,1,0.0006782102232333
S00469,28,20,2025-11-13,31,20,0.0024476488781198,train,1,0.0006876167770137
S00472,28,25,2025-11-13,48,20,0.0,train,1,0.0005104457830377
S00478,28,22,2025-11-13,27,26,0.0,train,1,0.0006858455215881
S00484,28,16,2025-11-13,16,24,0.0,train,1,0.0005858491520386
S00485,28,14,2025-11-13,42,22,0.0,train,1,0.0004435195097541
S00493,28,5,2025-11-13,40,26,0.0,train,1,0.0002664600245298
S00660,28,21,2025-11-13,23,27,0.0,train,1,0.0005972000369325
S00662,28,25,2025-11-13,37,22,0.0,train,1,0.0005378644809594
S00664,28,23,2025-11-13,34,13,0.0,train,1,0.0005340973228291
S00666,28,4,2025-11-13,56,23,0.0,train,1,0.000270542706311
S00667,28,8,2025-11-13,46,30,0.0,train,1,0.00045947584594
S00668,28,5,2025-11-13,34,31,0.0,train,1,0.0004052547303761
S00670,28,10,2025-11-13,43,22,0.0,train,1,0.000348019648826
S00671,28,5,2025-11-13,34,16,0.0,train,1,0.000249375604986
S00673,28,14,2025-11-13,18,25,0.0,train,1,0.0004868861459957
S00727,28,25,2025-11-13,32,30,0.0,train,1,0.0005049650216863
S00728,28,24,2025-11-13,44,30,0.0,train,1,0.0005306618013573
S00729,28,19,2025-11-13,63,22,0.0,train,1,0.0006883835485975
S00731,28,15,2025-11-13,59,25,0.0,train,1,0.000726714687967
S00732,28,19,2025-11-13,32,20,0.0,train,1,0.0006840331481237
S00733,28,20,2025-11-13,51,21,0.0,train,1,0.0007766627820737
S00755,28,5,2025-11-13,59,16,0.0,train,1,0.000277411451299
S00881,28,12,2025-11-13,17,23,0.0,train,1,0.0003610353323198
S00905,28,23,2025-11-13,59,28,0.0,train,1,0.0005495958321132
S00906,28,24,2025-11-13,15,26,0.0,train,1,0.0003699080047888
S01129,28,25,2025-11-13,44,22,0.0,train,1,0.0005868374037005
S01130,28,8,2025-11-13,47,30,0.0,train,1,0.0002782738064716
S01133,28,25,2025-11-13,46,24,0.0,train,1,0.0005749164071587
S01134,28,12,2025-11-13,34,19,0.0,train,1,0.0002887055502076
S01744,28,14,2025-11-13,42,32,0.002976805474447,train,1,0.0004091472641836
S01746,28,4,2025-11-13,51,12,0.0044648471890328,train,1,0.0004959061643121
S01794,28,16,2025-11-13,21,22,0.0,train,1,0.000543898666712
S01796,28,12,2025-11-13,25,17,0.0,train,1,0.0002528095725314
S01863,28,15,2025-11-13,30,20,0.0074317312494579,train,1,0.00051256023069
S01866,28,22,2025-11-13,58,19,0.0058951913268332,train,1,0.0006250914532584
S01867,28,19,2025-11-13,30,13,0.0028537878722628,train,1,0.0006297822104705
S01868,28,19,2025-11-13,53,21,0.0043893736531599,train,1,0.0007497783145181
S01869,28,18,2025-11-13,42,23,0.0100082563080207,train,1,0.0007083542986667
S01870,28,21,2025-11-13,53,28,0.0014377542105659,train,1,0.0006347904230137
S01874,28,8,2025-11-13,29,29,0.0073207304822255,train,1,0.0002911026848136
S01875,28,6,2025-11-13,60,25,0.007245869708474,train,1,0.0004377576988956
S01877,28,4,2025-11-13,21,27,0.0029669427654652,train,1,0.0003516244163655
S01878,28,3,2025-11-13,23,28,0.0100184588448391,train,1,0.0004812729298907
S01984,28,16,2025-11-13,32,15,0.0,train,1,0.0005260630956746
S01985,28,22,2025-11-13,56,22,0.0,train,1,0.0006500497027831
S01986,28,15,2025-11-13,30,17,0.0,train,1,0.0006728649813247
S01988,28,20,2025-11-13,34,21,0.0,train,1,0.0006759957124841
S01990,28,18,2025-11-13,27,26,0.0,train,1,0.0007781694184928
S01991,28,4,2025-11-13,26,29,0.0196559224836859,train,1,0.00044947480458
S01992,28,5,2025-11-13,49,20,0.0,train,1,0.0002023105672461
S01993,28,8,2025-11-13,56,23,0.0,train,1,0.0004815186756396
S01997,28,6,2025-11-13,41,31,0.0,train,1,0.0003821038511338
S02159,28,25,2025-11-13,60,18,0.0,train,1,0.0005468835070285
S02161,28,24,2025-11-13,51,26,0.0,train,1,0.000424820475806
S02737,28,14,2025-11-13,50,24,0.0,train,1,0.000382339427322
S02739,28,23,2025-11-13,44,30,0.0,train,1,0.0005688039664865
S02742,28,19,2025-11-13,62,22,0.0,train,1,0.0007297790535754
S02743,28,16,2025-11-13,55,23,0.0,train,1,0.0006135477112158
S02744,28,19,2025-11-13,56,14,0.0,train,1,0.0005359185210778
S02747,28,12,2025-11-13,37,20,0.0,train,1,0.0003119381260388
S02765,28,5,2025-11-13,31,26,0.0,train,1,0.0002955135566605
S02766,28,2,2025-11-13,54,23,0.0,train,1,0.0005711407112047
S02768,28,3,2025-11-13,21,18,0.0,train,1,0.0004317060524167
S02769,28,4,2025-11-13,32,21,0.0,train,1,0.0003904009042328
S02770,28,2,2025-11-13,38,23,0.0,train,1,0.0003184865137056
S02895,28,23,2025-11-13,60,25,0.0,train,1,0.0006445322974338
S02896,28,22,2025-11-13,45,28,0.0,train,1,0.0007014205887347
