ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S02730,298,1,2026-06-07,41,16,0.0,val,1,0.0007888212061481
S02732,298,1,2026-06-07,22,16,0.0,val,1,0.0007555017857741
S03284,298,1,2026-06-07,58,28,0.0,val,1,0.0007749427658617
S05688,298,1,2026-06-07,26,23,0.0,val,1,0.0007800624280347
S05959,298,1,2026-06-07,57,18,0.0,val,1,0.0008083991553908
S08024,298,1,2026-06-07,38,21,0.010069629699667,val,1,0.0007590909618583
S14531,298,1,2026-06-07,28,27,0.0,val,1,0.0006756978125702
S15347,298,1,2026-06-07,60,15,0.0,val,1,0.00071134895604
S16285,298,1,2026-06-07,21,15,0.0055620838229533,val,1,0.0007569208043396
S16980,298,1,2026-06-07,40,31,0.0052723984108545,val,1,0.0007505217725992
S21370,298,1,2026-06-07,36,24,0.0,val,1,0.0007907998637285
S25880,298,1,2026-06-07,42,14,0.0,val,1,0.0006185709078177
S30257,298,1,2026-06-07,22,14,0.0,val,1,0.0004225808100794
S34257,298,1,2026-06-07,61,24,0.0,val,1,0.0008029648788097
S35074,298,1,2026-06-07,18,23,0.0,val,1,0.0007816492979678
S36723,298,1,2026-06-07,55,25,0.0,val,1,0.0007972187358907
S39774,298,1,2026-06-07,19,24,0.0,val,1,0.0007872846086325
S42476,298,1,2026-06-07,50,20,0.0,val,1,0.0008070060546828
S02730,298,1,2026-06-07,39,16,0.0,val,2,0.000728239067052
S02732,298,1,2026-06-07,20,16,0.0,val,2,0.0007663980707603
S03284,298,1,2026-06-07,56,28,0.0,val,2,0.0007782733712873
S05688,298,1,2026-06-07,28,23,0.0,val,2,0.0007912525377433
S05959,298,1,2026-06-07,56,18,0.0,val,2,0.0007752251499213
S08024,298,1,2026-06-07,42,21,0.010069629699667,val,2,0.000764663606097
S14531,298,1,2026-06-07,31,27,0.0,val,2,0.0006707232923931
S15347,298,1,2026-06-07,62,16,0.0,val,2,0.0006326330369037
S16285,298,1,2026-06-07,23,15,0.0055620838229533,val,2,0.0008001551160767
S16980,298,1,2026-06-07,42,31,0.0052723984108545,val,2,0.0007718935501115
S21370,298,1,2026-06-07,34,24,0.0,val,2,0.0007720528005017
S25880,298,1,2026-06-07,38,14,0.0,val,2,0.0006407141224523
S30257,298,1,2026-06-07,19,15,0.0,val,2,0.000372341166237
S34257,298,1,2026-06-07,59,24,0.0,val,2,0.0007938736858154
S35074,298,1,2026-06-07,20,23,0.0,val,2,0.0007717205422834
S36723,298,1,2026-06-07,56,25,0.0,val,2,0.000796062984886
S39774,298,1,2026-06-07,16,24,0.0,val,2,0.0007786096617496
S42476,298,1,2026-06-07,48,20,0.0,val,2,0.0007692354229419
S02730,298,1,2026-06-07,43,16,0.0,val,3,0.0007848182130539
S02732,298,1,2026-06-07,26,16,0.0,val,3,0.0007835818354829
S03284,298,1,2026-06-07,58,27,0.0,val,3,0.0007767902805984
S05688,298,1,2026-06-07,22,23,0.0,val,3,0.0007776995361059
S05959,298,1,2026-06-07,59,18,0.0,val,3,0.0008026947620429
S08024,298,1,2026-06-07,33,21,0.010069629699667,val,3,0.0007975689273507
S14531,298,1,2026-06-07,24,27,0.0,val,3,0.0007821320916492
S15347,298,1,2026-06-07,58,14,0.0,val,3,0.0003790523865339
S16285,298,1,2026-06-07,25,14,0.0055620838229533,val,3,0.0007691816198221
S16980,298,1,2026-06-07,36,31,0.0052723984108545,val,3,0.0007700380931888
S21370,298,1,2026-06-07,45,24,0.0,val,3,0.000780445014438
S25880,298,1,2026-06-07,47,14,0.0,val,3,0.0007640043834423
S30257,298,1,2026-06-07,23,13,0.0,val,3,0.000371163429859
S34257,298,1,2026-06-07,65,24,0.0,val,3,0.0007839636086856
S35074,298,1,2026-06-07,13,23,0.0,val,3,0.000702417250271
S36723,298,1,2026-06-07,53,25,0.0,val,3,0.0007924070593279
S39774,298,1,2026-06-07,23,24,0.0,val,3,0.0007965913848991
S42476,298,1,2026-06-07,54,20,0.0,val,3,0.0007848597312335
S02730,298,1,2026-06-07,42,16,0.0,val,4,0.0007921253092633
S02732,298,1,2026-06-07,24,16,0.0,val,4,0.0007957794347746
S03284,298,1,2026-06-07,60,27,0.0,val,4,0.0007833892919758
