ufs_serial,run_wf_xy,position,prob,reg,pred,health
S00000,0000000_25_24_25,1,0.08483466549223329,0.008446051914971825,0.0007165179889366711,0.0
S00002,0000000_8_37_24,1,0.05539452653324846,0.0079330944501881,0.00043945001101171083,0.0
S00003,0000000_13_34_27,1,0.08711760713496784,0.008918261577844599,0.0007769376084655442,0.0
S00004,0000000_10_22_15,1,0.08615117623314918,0.008597266250019038,0.0007406645998286956,0.0
S00009,0000000_7_41_19,1,0.0774654934791407,0.008035370800223362,0.0006224639643271804,0.0
S00012,0000000_20_50_26,1,0.07279248296625437,0.007542051544576664,0.0005490046585892093,0.0
S00013,0000000_22_24_20,1,0.047276290859636916,0.008415217489470762,0.0003978402696793233,0.0
S00015,0000001_4_49_31,1,0.27525522330350893,0.008014641692002396,0.0022060719886297323,0.0
S00017,0000002_3_19_16,1,0.2732507148507805,0.008056819637253026,0.0022015317253031956,0.0
S00018,0000003_16_17_20,1,0.37101841560869503,0.007812807037146261,0.002898695288378469,0.0
S00020,0000003_22_63_22,1,0.3922004964385971,0.0081335312563731,0.003189974996548376,0.0
S00021,0000004_25_33_23,1,0.39335858285834613,0.008546834954040662,0.003361970885445613,0.0
S00022,0000005_19_42_14,1,0.18998384379231265,0.00905764588130545,0.0017208063802400186,0.0
S00023,0000003_5_58_18,1,0.34919171514139113,0.008164844376199501,0.002851096011587646,0.0
S00024,0000003_12_32_17,1,0.4108386395623972,0.007779960901772645,0.0031963085527329143,0.0
S00025,0000003_13_45_17,1,0.3428909691018403,0.008275769602249572,0.0028376866589789073,0.0
S00026,0000003_14_35_23,1,0.4711578697238604,0.00846838985521335,0.003989948524173473,0.0
S00027,0000003_5_58_21,1,0.3117974844912286,0.008032956284836395,0.0025046555626399934,0.0
S00028,0000003_16_58_21,1,0.36178483054773725,0.007874461032882692,0.0028488605504362247,0.0
S00029,0000004_7_52_18,1,0.36005717228851686,0.009940274426262457,0.0035790671016919192,0.0
S00031,0000004_8_26_15,1,0.32317276088013475,0.008007402425461935,0.002587774349314821,0.0
S00032,0000004_5_36_15,1,0.39643514564749105,0.008781001372863539,0.0034810975581819757,0.0024556306573382
S00034,0000004_7_41_27,1,0.36405042885748784,0.00800069862768741,0.002912657766569116,0.0
S00035,0000004_7_30_25,1,0.37921617612661174,0.008810399591565671,0.0033410460432609958,0.0
S00037,0000004_8_47_19,1,0.33141380723491237,0.008183372059982777,0.0027120824904186998,0.0024203995363741
S00038,0000003_14_50_14,1,0.41077069100804053,0.009685296572920003,0.003978435965876157,0.0
S00039,0000006_11_28_31,1,0.2995031108925237,0.009004332444664533,0.0026968255786875106,0.0024294149851399
S00041,0000004_23_41_11,1,0.35523604287208815,0.009015151288691802,0.003202506669688082,0.0024488066378919
S00042,0000007_16_21_29,1,0.4319284382378752,0.008154604430674136,0.003522205556188737,0.0024355223631917
S00043,0000008_3_54_30,1,0.21216742043006842,0.008595051225137736,0.0018235898469017727,0.0
S00044,0000009_3_57_14,1,0.21464172324585537,0.009084984550599291,0.0019500167396026048,0.0
S00047,0000004_21_17_27,1,0.3418464296364071,0.008194845017452672,0.002801378510639896,0.0024454088310256
S00049,0000003_15_41_11,1,0.3526740486511584,0.00853641528159648,0.0030105721383282495,0.0
S00051,0000011_21_22_29,1,0.32507699928087624,0.008318834409300237,0.0027042617272898216,0.0023918839575332
S00052,0000011_20_50_12,1,0.23796212319053883,0.007503676859257989,0.0017855908771647452,0.0
S00056,0000011_18_45_11,1,0.36958936648707036,0.008036002824528928,0.0029700211930059547,0.0024112401634015
S00057,0000014_24_59_15,1,0.22139518671567912,0.008497671633336123,0.0018813435979109809,0.0
S00058,0000011_18_16_26,1,0.4271175924988551,0.007599836357166841,0.00324602380825837,0.0
S00059,0000013_13_17_27,1,0.290233338862932,0.008304391433962739,0.0024102112531037374,0.00240752581914
S00061,0000015_18_56_14,1,0.4165791341402329,0.00869166867331847,0.003620767810164795,0.0
S00062,0000015_15_42_16,1,0.3984947253237936,0.00766437894080407,0.003054214580793186,0.0
S00063,0000015_18_44_28,1,0.3563547922059261,0.008486741026287154,0.0030242908349280666,0.0
S00064,0000015_11_27_14,1,0.34585561275439897,0.00853107464586774,0.0029505200491001045,0.0
S00065,0000015_13_43_15,1,0.4261863551179342,0.008197318668384575,0.00349358536501902,0.0
S00068,0000015_14_26_20,1,0.38335497815061187,0.009158900610709945,0.0035111101435023368,0.0096413121496052
S00069,0000012_8_41_16,1,0.3918101484023596,0.008738045969457736,0.003423655088039876,0.0024141213958187
S00071,0000015_13_30_26,1,0.46908322353788695,0.00815229209075366,0.003824103453153147,0.0
S00072,0000012_10_49_25,1,0.424478873073923,0.008435173713316091,0.003580553032011193,0.0
S00075,0000012_6_37_16,1,0.2989741675831549,0.008608994681079578,0.002573867018503575,0.0
S00079,0000012_4_27_19,1,0.3882214583066177,0.009031379062991432,0.0035061751503543885,0.0
S00080,0000012_10_34_31,1,0.3264042814872748,0.008370768482772309,0.002732254672115621,0.0024551575598599
S00081,0000012_5_31_25,1,0.4080270638670135,0.008368966823640378,0.0034147649606504297,0.0048692551117381
S00084,0000004_21_17_18,1,0.3941791517009349,0.008517048641205956,0.003357243008386164,0.0
S00086,0000004_20_42_12,1,0.4059615487203095,0.00904490280117631,0.0036718827491902003,0.0
S00087,0000005_13_32_29,1,0.3799869401661622,0.008412328540395734,0.003196574981737452,0.0071833265884257
S00092,0000003_22_33_16,1,0.36588468407276303,0.007772327576052145,0.002843775619673863,0.0
S00096,0000004_19_42_16,1,0.3650588473860735,0.008607346045237198,0.0031421878263273697,0.0
S00098,0000004_9_61_16,1,0.4045815418241828,0.008727015009336526,0.003530789188000157,0.0
S00099,0000005_7_33_16,1,0.31844290663275016,0.009737055426100798,0.00310069623193173,0.002429023161249
S00101,0000005_12_36_19,1,0.21569865988216527,0.00817583491958772,0.0017635166355728818,0.0047811447811447
S00103,0000003_18_48_19,1,0.3786836683965349,0.008758244055229623,0.0033166039875464977,0.0023947190902958
S00106,0000005_18_38_23,1,0.4888362726142523,0.007950792383711809,0.0038866357131834665,0.0
S00108,0000005_10_54_18,1,0.4388645949433073,0.009294554816724372,0.004079051034820108,0.0
S00109,0000006_11_43_18,1,0.28743743154324614,0.00816644797690995,0.002347342831314535,0.0024466006035276
S00111,0000005_10_55_15,1,0.3571901964426362,0.008934079161063193,0.0031911654905742246,0.0
S00113,0000005_11_51_20,1,0.37734318101792264,0.008588553286918885,0.0032408320176279073,0.0
S00114,0000004_25_46_27,1,0.34090976846671833,0.008223468488451107,0.0028034607383912212,0.0
S00116,0000006_5_51_22,1,0.4001609545550762,0.007678550682608209,0.0030726561707520327,0.0
S00120,0000006_16_30_16,1,0.36728717004311123,0.008433913095306864,0.003097668073164795,0.0
S00121,0000005_17_50_27,1,0.39367074918463213,0.008612144264137723,0.0033903492845492296,0.0
S00122,0000006_16_18_16,1,0.33107030409096927,0.008891236000825042,0.0029436242065377202,0.0
S00123,0000006_24_29_23,1,0.3040050536647373,0.007543586007108725,0.002293288268915649,0.0120079634300735
S00124,0000005_17_31_19,1,0.37905864818948826,0.008574649591985515,0.003250295083036576,0.0
S00126,0000017_6_56_26,1,0.3414046173523215,0.00820438865080363,0.0028010161679373428,0.0145181549966406
S00127,0000017_11_44_20,1,0.29107658899538913,0.00877885474947127,0.0025553190957620688,0.0
