ufs_serial,pred
S00000,0.0003409756864596358
S00002,1.6397713548028433e-05
S00003,2.3196725967924423e-05
S00004,0.00043991474579152664
S00009,2.8727460173232152e-05
S00012,0.0004941150539787244
S00013,5.44642467574348e-07
S00015,0.002501533053612603
S00017,0.002214616842934271
S00018,0.0030953524650171507
S00020,0.0031995564223070865
S00021,0.003262787794830428
S00022,0.002040886375659101
S00023,0.002609327790118524
S00024,0.00329922451475219
S00025,0.002967500774265592
S00026,0.0036299983621243277
S00027,0.0026780014483524313
S00028,0.003107333078832247
S00029,0.0034392586230135008
S00031,0.002936196217373564
S00032,0.0036180850486307384
S00034,0.0030421173008182375
S00035,0.002958319570137925
S00037,0.003133570519237434
S00038,0.0037191791029734505
S00039,0.0029191196977165343
S00041,0.0032561382946418517
S00042,0.0032828720809371884
S00043,0.002079979846514351
S00044,0.0019460458993766868
S00047,0.002626713397455783
S00049,0.002665605662026862
S00051,0.0025980705067206377
S00052,0.00170879797716588
S00056,0.0030028942947658444
S00057,0.0026415904676408727
S00058,0.0031187425245599388
S00059,0.002536105366390013
S00061,0.002989776467571434
S00062,0.0027319699712676487
S00063,0.0028672167477704303
S00064,0.003012037448498886
S00065,0.00294274823050879
S00068,0.002768945005004862
S00069,0.0031019860767208325
S00071,0.0032016264033540246
S00072,0.0032685234837795426
S00075,0.0029915395487301907
S00079,0.003422987850851753
S00080,0.0028250316970460823
S00081,0.003311920266396502
S00084,0.003217953710792282
S00086,0.003005977549385633
S00087,0.003132276111708354
S00092,0.002777894377561866
S00096,0.003045541300687049
S00098,0.0031616834994564556
S00099,0.0034398801320324824
S00101,0.002434908494776504
S00103,0.0033452080816524644
S00106,0.0033994920588569385
S00108,0.0036852211035363785
S00109,0.0027989316431894333
S00111,0.0034213418179666775
S00113,0.003410215810548467
S00114,0.0031698027291539826
S00116,0.0030883466206455233
S00120,0.0029687116504329074
S00121,0.0031242293984275436
S00122,0.0029945992816395486
S00123,0.0028746808596510458
S00124,0.003576202801879099
S00126,0.002460602448991339
S00127,0.0023045818366721755
S00128,0.002705971962811582
S00129,0.002153785494290828
S00130,0.002547578765952098
S00131,0.002816006540974259
S00132,0.0025062709242843007
S00133,0.002387603907746432
S00134,0.0027023201900563906
S00135,0.003252100565238323
S00136,0.0026971749752297404
S00137,0.0027846710787065502
S00138,0.002448863697103539
S00139,0.0033162192870009387
S00142,0.002962223066834453
S00144,0.0027293129575491288
S00145,0.002904098888588594
S00146,0.0030237595480753017
S00148,0.0027753712739220374
S00149,0.0027310488050987986
S00150,0.00042825361331880933
S00151,0.002072637408420677
S00152,0.001304748071736918
S00153,0.0019037329992804071
S00154,0.002697872209373154
S00155,0.002195852870858494
S00156,0.002079902960433899
S00157,0.001846192800072643
S00158,0.002068155685153413
S00162,0.002675118677143486
S00164,0.002025121444306738
S00165,0.002441927297129367
S00166,0.0024957701460110917
S00168,0.0033657662871963913
S00169,0.003503841091272532
S00170,0.003287879378041429
S00171,0.0029540809843656016
S00174,0.0037166943535931964
S00175,0.003128396755052258
S00177,0.0032989654118178776
S00178,0.0033599676924023097
S00180,0.0020956663398606743
S00181,0.0029003632528419422
S00183,0.002232350066281279
S00185,0.003270485157643947
S00186,0.002786110984297274
S00187,0.0026752163931286063
S00188,0.002492609498073771
S00189,0.002376305119495247
S00191,0.0024648546134037
S00192,0.0023817902677412007
S00193,0.00279074499450644
S00194,0.0021850140902553022
S00199,0.0030826053811208723
S00201,0.0029084587799486604
S00202,0.003100906042610083
S00205,0.003174226370823459
S00206,0.002842395253052672
S00207,0.003077756249774295
S00208,0.003001429783402977
S00210,0.0028750139428389823
S00211,0.003443222372161546
S00214,0.001934056253507659
S00216,0.0025087664191167525
S00217,0.00222417598624667
S00218,0.0032091660743424045
S00220,0.0034728625268505334
S00221,0.003253153168452753
S00223,0.003024375867397074
S00226,0.0034853351893774837
S00227,0.0018851604144594235
S00229,0.002964045061683039
S00233,0.0019066555328314495
S00237,0.0024133150158811016
S00238,0.001421638234785357
S00245,0.0018259241582493737
S00247,0.0027411444558488015
S00248,0.002984131938872546
S00249,0.002520432358581508
S00252,0.0025346483295062704
S00253,0.0027610652524436073
S00257,0.0017504798904637185
S00258,0.0030184288388915995
S00259,0.002597373764441085
S00260,0.002826285915661913
S00261,0.0024650906386343885
S00262,0.002769456910790624
S00264,0.002715739667363369
S00265,0.0027868307692018863
S00267,0.0029313731347381344
S00268,0.002902334913490179
S00269,0.002916125458707866
S00270,0.003072824625313028
S00271,0.002552082682082735
S00273,0.0021090119550484835
S00275,0.0021528644515183114
S00277,0.0038291401025590415
S00278,0.0033353753071020727
S00283,0.0026577081630710167
S00284,0.0019367404748893223
S00289,0.0027921742875466203
S00290,0.0024273691583218088
S00294,0.0032459019174321054
S00296,0.002987937541883744
S00297,0.003486136842865067
S00302,0.0029185206729656025
S00303,0.002412610054174017
S00308,0.0024678117239653485
S00309,0.002113808918321974
S00310,0.0021615087981242337
S00311,0.002092766023881537
S00312,0.001999622500022257
S00313,0.0020206910331399815
S00314,0.0020353499098434624
S00315,0.0025997617031000256
S00316,0.0020299550736856266
S00318,0.0020626774347400566
S00319,0.002189812359927211
S00321,0.0012680789047205324
S00323,0.0018027846611091787
S00324,0.0027141616751099433
S00325,0.002974440971189289
S00326,0.002710040057417291
S00327,0.0024135863110024427
S00328,0.0027351608527106507
S00329,0.002610724577304633
S00331,0.002834039058389803
S00332,0.0026552113760599685
S00334,0.0029060953578952404
S00335,0.0028712358851942705
S00336,0.0023130087431446236
S00339,0.002365949688500571
S00340,0.0027706313198169186
S00341,0.00277726111335994
S00342,0.0024364201725528777
S00343,0.0026180659905352005
S00344,0.0028776944430436734
S00347,0.002923584246582143
S00349,0.0025080860231438944
S00350,0.002640916224979987
S00351,0.0019126600690686946
S00352,0.0025339268052587912
S00354,0.0032178181885691858
S00356,0.002725096607945409
S00357,0.003212829555283412
S00358,0.0034723429341215477
S00360,0.003478645473334176
S00361,0.0040752512998552155
S00362,0.0034202724817341368
S00363,0.0033613009214408297
S00366,0.0024532891836820583
S00369,0.0029953194330841174
S00371,0.002760715942232192
S00373,0.002521491166836927
S00376,0.0029292443737460776
S00377,0.0027296268833338654
S00378,0.002865808925731052
S00379,0.0021487208379119722
S00380,0.002735260727581577
S00383,0.0037189990623570047
S00384,0.002471114181770807
S00388,0.002889169523389623
S00389,0.0024736182021216887
S00390,0.002579600435933761
S00393,0.0035190545540277336
S00395,0.0027236580184986704
S00396,0.0025671637045392203
S00398,0.003271506868951211
S00400,0.003691226901820221
S00402,0.00264634728955182
S00403,0.0031549506400000795
S00404,0.0032932040730605304
S00405,0.002172517117608094
S00406,0.0029857386328817894
S00408,0.002412361071265763
S00409,0.0026754331173255716
S00410,0.002458679754351901
S00411,3.3344411339094916e-07
S00412,1.5213495727702767e-05
S00416,0.0018240917422100023
S00417,0.0029204084385680935
S00420,0.003555492980894835
S00423,0.0034103795860138063
S00429,0.0035021274105459495
S00430,0.0026816968886027716
S00432,0.0032069574103462143
S00434,0.0033286544160678897
S00435,0.0035986765122472566
S00436,0.003576922818217608
S00438,0.0012205679859816857
S00439,0.0033436867521708415
S00440,0.00037786166771843247
S00441,2.576416512038011e-05
S00446,0.0023014329129503307
S00448,0.0024803762598556555
S00450,0.003347674398539762
S00452,0.002368152520875049
S00453,0.0023665750537772367
S00454,0.0016214439129843955
S00455,0.0017170986520318558
S00456,0.0024860324946249838
S00457,0.0023511633353278023
S00461,0.002191145675646457
S00462,0.0019697853091683337
S00463,0.002308595297217405
S00464,0.0004207904193712595
S00465,0.0017749904671621932
S00467,0.0023757576723266185
S00469,0.002343716319119271
S00470,0.0019936327999337507
S00472,0.0018270765324341087
S00473,0.0006692949478602581
S00475,0.0024780014696635763
S00476,0.0025016919085069046
S00478,0.0016796358917929213
S00482,0.0022837364770846
S00483,0.0024439458487839696
S00484,0.0023495960170819424
S00485,0.0016271961693936161
S00486,0.0019427168422782393
S00487,0.002621272813432102
S00488,0.001657237899094786
S00491,0.002122239432253021
S00493,0.0005657872345312241
S00495,0.0031389077362820304
S00497,0.0029967828061141085
S00498,0.0028395239793308938
S00499,0.0022127542440847077
S00500,0.002600370047083661
S00501,0.003066513327240209
S00502,0.00280411134651141
S00503,0.0025634243738906918
S00505,0.0034423625180277683
S00510,0.0030312087361189202
S00512,0.0029803397128635428
S00513,0.0033728621969248587
S00514,0.0030903643087256245
S00515,0.0034915355830560037
S00516,0.0036168945679153756
S00518,0.0025738750677934898
S00519,0.003128554702365373
S00520,0.00232052927293373
S00521,0.0031857582416863345
S00522,0.002573426050917402
S00523,0.0030086607700803734
S00524,0.002782707379314825
S00525,0.0028651831356216635
S00527,0.002838605874908415
S00529,0.0033022940790304396
S00531,0.0026149978476258462
S00537,0.00304977071218533
S00538,0.003135775836701627
S00539,0.0033237502001191225
S00540,0.002997514448175841
S00543,0.0027725343834999827
S00545,0.003226486713779157
S00547,0.0030696963848107156
S00548,0.0035228091886191186
S00550,0.002900037434634477
S00551,0.0030957231736700504
S00552,0.0027756532682559933
S00553,0.0031428277418426276
S00554,0.002279275978876181
S00555,0.0029677068818717116
S00557,0.002746469338719384
S00558,0.00312253089482517
S00559,0.003381068849391537
S00560,0.00296767947869149
S00561,0.003113080482854033
S00562,0.0032794055437496226
